"","Year","Temp_sum","Perm_sum","Temp","Perm","GDP"
"1",2000,50276,0,48.4112005546354,0,15414.2915653968
"2",2001,44844,0,39.5945540270886,0,16038.7255036845
"3",2002,40911,14,41.6617446383837,0.0142569095093586,17178.1699899923
"4",2003,31061,246,36.8318076175117,0.291704216667457,17627.2141951262
"5",2004,28097,419,28.745792537573,0.428675199247005,18470.0217466398
"6",2005,35747,420,21.4805066820498,0.252379578886646,19225.0106941459
"7",2006,37417,358,17.9059550927432,0.171321375930782,20131.0715398147
"8",2007,30892,468,20.703012431726,0.31364138994069,21191.2464696044
"9",2008,23862,586,16.8656304997774,0.414184036244637,21664.606416493
"10",2009,16853,610,15.7453169523987,0.569907039753352,21724.2423576681
"11",2010,44145,1192,26.4475930863014,0.714135937453195,23087.2256438476
"12",2011,57438,2741,28.7056518718796,1.36986301369863,23754.7724552742
"13",2012,56201,3928,25.7494467632788,1.7996801993943,24197.9413704675
"14",2013,73162,5062,29.2228360074932,2.0218965565448,24850.3543993397
"15",2014,54904,5509,22.7174551683617,2.27944158025836,25485.5840065102
"16",2015,64459,5790,24.5789371332263,2.20779171258289,26063.7064870504
"17",2016,64412,5824,21.9419804057829,1.98394854814754,26725.5017164576
"18",2017,62527,5921,21.756770392949,2.06025936789948,27492.576254672
"19",2018,63315,6104,20.0663649501787,1.93453512841967,28091.388371118
"20",2019,58692,6168,19.7188587708806,2.072274260526,28605.7320088595
"21",2020,NA,NA,NA,NA,NA
